Year,UK_Income_Index
1977,0.444792888113223
1978,0.4920782089389436
1979,0.5110850535845763
1980,0.5275285648059774
1981,0.5008589893921628
1982,0.49311445011044147
1983,0.498268386463418
1984,0.5139483515584522
1985,0.5365547707998146
1986,0.5583158354012707
1987,0.5866761200948979
1988,0.6234354121785607
1989,0.6395789588503177
1990,0.6556134275040223
1991,0.6750565842218647
1992,0.6553407324588912
1993,0.6375882850208612
1995,0.6544681083144719
1996,0.656349704125876
1997,0.6927272231463554
1998,0.7103978620708462
1999,0.7253142810395136
2000,0.7717269777208148
2001,0.7847072618690518
2002,0.8347195331460827
2003,0.8617163426140547
2004,0.8778598892858117
2005,0.9023206348340651
2006,0.9125739685309918
2007,0.9118649614136511
2008,0.9264268768236481
2009,0.9147827983965532
2010,0.9160099260996428
2011,0.9147282593875269
2012,0.893294428840228
2013,0.8728150309508876
2014,0.8952578331651714
2015,0.9341168770963432
2016,0.9504513102996919
2017,0.9760846445420087
2018,0.9527419486787925
2019,0.9605410269695399
2020,1.0
2021,1.0202612418532355
2022,1.0173161353658204
2023,0.9921736522047394
2024,0.9997818439638951
